x,l
http://vocab.getty.edu/aat/300440737,architectural paintings
http://vocab.getty.edu/aat/300028747,punch marks
http://vocab.getty.edu/aat/300262881,builder's models
http://vocab.getty.edu/aat/300263495,oshe Shango
http://vocab.getty.edu/aat/300263291,checkerboard models
http://vocab.getty.edu/aat/300263144,adventure story comics
http://vocab.getty.edu/aat/300262804,aggrey beads
http://vocab.getty.edu/aat/300262695,asen
http://vocab.getty.edu/aat/300379299,koruru
http://vocab.getty.edu/aat/300400697,Arabic alphabet
http://vocab.getty.edu/aat/300264553,masons' marks
http://vocab.getty.edu/aat/300256757,faïence patronymique
http://vocab.getty.edu/aat/300264621,fancy sewing
http://vocab.getty.edu/aat/300391149,eucharistic doves
http://vocab.getty.edu/aat/300216616,table linens
http://vocab.getty.edu/aat/300265241,commessi (visual works)
http://vocab.getty.edu/aat/300263856,actualities
http://vocab.getty.edu/aat/300165096,espagnolettes
http://vocab.getty.edu/aat/300262580,altar crosses
http://vocab.getty.edu/aat/300444086,mass kits
http://vocab.getty.edu/aat/300264666,scenes (depictions)
http://vocab.getty.edu/aat/300134739,color separation positives
http://vocab.getty.edu/aat/300010730,tesserae (mosaic components)
http://vocab.getty.edu/aat/300215302,digital images
http://vocab.getty.edu/aat/300423038,cheesecloth
http://vocab.getty.edu/aat/300264760,Celtic crosses (visual works)
http://vocab.getty.edu/aat/300387460,DNA microarrays
http://vocab.getty.edu/aat/300438829,harbor views
http://vocab.getty.edu/aat/300265139,electrical porcelain
http://vocab.getty.edu/aat/300229940,applied decoration
http://vocab.getty.edu/aat/300262829,<beads by form>
http://vocab.getty.edu/aat/300264035,macrame (needlework)
http://vocab.getty.edu/aat/300075940,altarpieces
http://vocab.getty.edu/aat/300178245,cult objects
http://vocab.getty.edu/aat/300428757,pahos
http://vocab.getty.edu/aat/300391096,antependium guards
http://vocab.getty.edu/aat/300264234,Alhambra vases
http://vocab.getty.edu/aat/300264618,Angleterre lace
http://vocab.getty.edu/aat/300264694,Armenian lace
http://vocab.getty.edu/aat/300232154,gimp (braided trimming)
http://vocab.getty.edu/aat/300219638,aggetti
http://vocab.getty.edu/aat/300265272,scaraboids
http://vocab.getty.edu/aat/300390956,oordeelspelen
http://vocab.getty.edu/aat/300210502,hems (components)
http://vocab.getty.edu/aat/300227955,cut-and-uncut pile
http://vocab.getty.edu/aat/300228360,accordion pleats
http://vocab.getty.edu/aat/300227775,binding warp
http://vocab.getty.edu/aat/300227780,brocading weft
http://vocab.getty.edu/aat/300216722,dung-dkar
http://vocab.getty.edu/aat/300446508,aṣṭamaṅgala
http://vocab.getty.edu/aat/300198389,benedictionals
http://vocab.getty.edu/aat/300389851,enconchados
http://vocab.getty.edu/aat/300266029,action figures
http://vocab.getty.edu/aat/300211320,golliwogs
http://vocab.getty.edu/aat/300417380,digitized images
http://vocab.getty.edu/aat/300266313,hairwork jewelry
http://vocab.getty.edu/aat/300264420,akrafokonmu
http://vocab.getty.edu/aat/300391168,guild boards
http://vocab.getty.edu/aat/300212148,batons (symbols or weapons)
http://vocab.getty.edu/aat/300375290,bâtons percés
http://vocab.getty.edu/aat/300239991,taus (staffs)
http://vocab.getty.edu/aat/300260043,akua'mma
http://vocab.getty.edu/aat/300263330,talking dolls
http://vocab.getty.edu/aat/300211170,mutoscopes
http://vocab.getty.edu/aat/300301312,portable tabernacles
http://vocab.getty.edu/aat/300205002,tapestries
http://vocab.getty.edu/aat/300231210,close webbing (upholstery foundation)
http://vocab.getty.edu/aat/300215091,entrefenêtres
http://vocab.getty.edu/aat/300204165,dust ruffles
http://vocab.getty.edu/aat/300262562,libelli
http://vocab.getty.edu/aat/300390906,communion wafer sieves
http://vocab.getty.edu/aat/300265147,euchologions
http://vocab.getty.edu/aat/300188812,antiphonaries
http://vocab.getty.edu/aat/300417815,authors’ presentation copies
http://vocab.getty.edu/aat/300299142,liturgical braziers
http://vocab.getty.edu/aat/300198819,alms dishes
http://vocab.getty.edu/aat/300440277,afiqoman cases
http://vocab.getty.edu/aat/300391079,ablution chalices
http://vocab.getty.edu/aat/300395581,box talers
http://vocab.getty.edu/aat/300262872,asie usu
http://vocab.getty.edu/aat/300435681,<temporary alphabetical list: visual works>
http://vocab.getty.edu/aat/300411663,animations (visual works)
http://vocab.getty.edu/aat/300033725,anamorphoses
http://vocab.getty.edu/aat/300123430,cartoons (humorous images)
http://vocab.getty.edu/aat/300266371,art interventions
http://vocab.getty.edu/aat/300022108,affiches lacérées
http://vocab.getty.edu/aat/300386044,animal art
http://vocab.getty.edu/aat/300047210,found objects
http://vocab.getty.edu/aat/300263061,body-part reliquaries
http://vocab.getty.edu/aat/300264597,gentlemen's pictures
http://vocab.getty.edu/aat/300232186,braid (trimming)
http://vocab.getty.edu/aat/300184603,armatures (sculpture components)
http://vocab.getty.edu/aat/300419340,pictorial stones (Chinese reliefs)
http://vocab.getty.edu/aat/300263075,aloalo
http://vocab.getty.edu/aat/300310954,kagamibuta
http://vocab.getty.edu/aat/300265395,mbulu ngulu
http://vocab.getty.edu/aat/300185409,actions (works of art)
http://vocab.getty.edu/aat/300390540,ax-cut brush strokes
http://vocab.getty.edu/aat/300178464,emakimono
http://vocab.getty.edu/aat/300041338,intaglio prints
http://vocab.getty.edu/aat/300178577,lubki
http://vocab.getty.edu/aat/300265560,photoscreenprints
