x,l
http://vocab.getty.edu/aat/300379324,Leptospermum scoparium (species)
http://vocab.getty.edu/aat/300379331,Ficinia spiralis (species)
http://vocab.getty.edu/aat/300435487,Podocarpus (genus)
http://vocab.getty.edu/aat/300379289,Podocarpus totara (species)
http://vocab.getty.edu/aat/300424383,defense structures
http://vocab.getty.edu/aat/300443773,park headquarters
http://vocab.getty.edu/aat/300432119,sheep sheds
http://vocab.getty.edu/aat/300435225,cherry pits
http://vocab.getty.edu/aat/300435266,Celosia (genus)
http://vocab.getty.edu/aat/300444235,Shaker siding
http://vocab.getty.edu/aat/300433044,window element
http://vocab.getty.edu/aat/300419419,Phyllanthus (genus)
http://vocab.getty.edu/aat/300419418,Phyllanthus emblica (species)
http://vocab.getty.edu/aat/300419461,Azadirachta indica (species)
http://vocab.getty.edu/aat/300419493,Sphagnopsida (order)
http://vocab.getty.edu/aat/300419494,Sphagnaceae (family)
http://vocab.getty.edu/aat/300419495,Sphagnum (genus)
http://vocab.getty.edu/aat/300419946,Crescentia cujete (species)
http://vocab.getty.edu/aat/300375089,Brassicales (order)
http://vocab.getty.edu/aat/300419949,Cucurbitaceae (family)
http://vocab.getty.edu/aat/300435297,Cucurbita (genus)
http://vocab.getty.edu/aat/300419951,Lagenaria siceraria (species)
http://vocab.getty.edu/aat/300419961,coal washeries
http://vocab.getty.edu/aat/300417747,Lophophora (genus)
http://vocab.getty.edu/aat/300417748,Lophophora williamsii (species)
http://vocab.getty.edu/aat/300386492,Daphne (genus)
http://vocab.getty.edu/aat/300007873,deck truss bridges
http://vocab.getty.edu/aat/300449135,lesser basilicas (works by context)
http://vocab.getty.edu/aat/300419357,hongsalmuns
http://vocab.getty.edu/aat/300419361,Tamarix (genus)
http://vocab.getty.edu/aat/300435600,Salvia officinalis (species)
http://vocab.getty.edu/aat/300417300,Theobroma cacao (species)
http://vocab.getty.edu/aat/300417302,cacao (fruits)
http://vocab.getty.edu/aat/300417310,Stachys officinalis (species)
http://vocab.getty.edu/aat/300417335,prunes (dried fruit)
http://vocab.getty.edu/aat/300417337,Arachis hypogaea (species)
http://vocab.getty.edu/aat/300375116,fruit drying houses
http://vocab.getty.edu/aat/300411461,sliding hatches
http://vocab.getty.edu/aat/300417449,Alstonia congensis (species)
http://vocab.getty.edu/aat/300417504,Primula (genus)
http://vocab.getty.edu/aat/300417505,Primula vulgaris (species)
http://vocab.getty.edu/aat/300375614,Styrax (genus)
http://vocab.getty.edu/aat/300007320,water slides
http://vocab.getty.edu/aat/300411460,inundation lines
http://vocab.getty.edu/aat/300411565,inside winders
http://vocab.getty.edu/aat/300411566,paltroks
http://vocab.getty.edu/aat/300411634,Boquila (genus)
http://vocab.getty.edu/aat/300411635,Boquila trifoliolata (species)
http://vocab.getty.edu/aat/300411777,Erythroxylum (genus)
http://vocab.getty.edu/aat/300411778,coca (plants)
http://vocab.getty.edu/aat/300067415,Composite order
http://vocab.getty.edu/aat/300380052,Paeonia (genus)
http://vocab.getty.edu/aat/300404897,Florida rooms
http://vocab.getty.edu/aat/300379321,Dodonaea viscosa (species)
http://vocab.getty.edu/aat/300400900,Zelkova serrata (species)
http://vocab.getty.edu/aat/300137869,kneelers (furniture)
http://vocab.getty.edu/aat/300391491,Elaeis guineensis (species)
http://vocab.getty.edu/aat/300008356,linear cities
http://vocab.getty.edu/aat/300391508,Palaquium beccarianum (species)
http://vocab.getty.edu/aat/300404259,preacher's chairs (presider's chairs)
http://vocab.getty.edu/aat/300448588,Lady altars
http://vocab.getty.edu/aat/300395653,Paulownia (genus)
http://vocab.getty.edu/aat/300395654,Paulownia tomentosa (species)
http://vocab.getty.edu/aat/300400463,Millettia laurentii (species)
http://vocab.getty.edu/aat/300411355,peanuts
http://vocab.getty.edu/aat/300312354,leaflets (plant components)
http://vocab.getty.edu/aat/300435295,carrots (roots)
http://vocab.getty.edu/aat/300400483,Punica granatum (species)
http://vocab.getty.edu/aat/300400499,Camellia (genus)
http://vocab.getty.edu/aat/300393173,Camellia sinensis (species)
http://vocab.getty.edu/aat/300191704,spider webs (structures)
http://vocab.getty.edu/aat/300311568,Indigofera tinctoria (species)
http://vocab.getty.edu/aat/300400870,Carthamus tinctorius (species)
http://vocab.getty.edu/aat/300311570,Isatis tinctoria (species)
http://vocab.getty.edu/aat/300400873,Anchusa officinalis (species)
http://vocab.getty.edu/aat/300400878,Rhamnus saxatilis ssp infectorius (subspecies)
http://vocab.getty.edu/aat/300390542,Brassica (genus)
