x,l
http://vocab.getty.edu/aat/300266125,Hindu religious building fixtures
http://vocab.getty.edu/aat/300438675,table boards
http://vocab.getty.edu/aat/300448595,carboxymethyl chitosan
http://vocab.getty.edu/aat/300375276,curtain hooks
http://vocab.getty.edu/aat/300435483,paepae pataka
http://vocab.getty.edu/aat/300386708,thin sections
http://vocab.getty.edu/aat/300444003,cold plasma
http://vocab.getty.edu/aat/300013125,anthocyanin
http://vocab.getty.edu/aat/300375655,medium-curing asphalt
http://vocab.getty.edu/aat/300299080,biforate windows
http://vocab.getty.edu/aat/300380075,polycyclohexanone
http://vocab.getty.edu/aat/300446473,alaṁkāra-dēvatā
http://vocab.getty.edu/aat/300379152,Estrangela
http://vocab.getty.edu/aat/300379798,branches (plant components)
http://vocab.getty.edu/aat/300375238,shower curtain rings
http://vocab.getty.edu/aat/300389699,café-style shutters
http://vocab.getty.edu/aat/300443458,puteals
http://vocab.getty.edu/aat/300264248,clove (flower bud)
http://vocab.getty.edu/aat/300375416,blackberry (fruit)
http://vocab.getty.edu/aat/300448624,figs (fruits)
http://vocab.getty.edu/aat/300445498,tlactli
http://vocab.getty.edu/aat/300343578,clerical script
http://vocab.getty.edu/aat/300343579,draft cursive script
http://vocab.getty.edu/aat/300343581,Han clerical script
http://vocab.getty.edu/aat/300343586,running-cursive script
http://vocab.getty.edu/aat/300343577,bronze script
http://vocab.getty.edu/aat/300311725,compact shelving
http://vocab.getty.edu/aat/300311710,closed stacks
http://vocab.getty.edu/aat/300007689,air raid shelters
http://vocab.getty.edu/aat/300391219,mikvehs
http://vocab.getty.edu/aat/300022670,apochromats
http://vocab.getty.edu/aat/300404188,frontal cupboards
http://vocab.getty.edu/aat/300299224,cancelletti di balaustrata
http://vocab.getty.edu/aat/300444063,artophoria
http://vocab.getty.edu/aat/300310090,LEDs (electron tubes)
http://vocab.getty.edu/aat/300419422,cathode ray tubes
http://vocab.getty.edu/aat/300404061,blanket stitches
http://vocab.getty.edu/aat/300447337,vimāna-vēdikā
http://vocab.getty.edu/aat/300266181,Castile soap
http://vocab.getty.edu/aat/300266167,Marseilles soap
http://vocab.getty.edu/aat/300266227,megapixels
http://vocab.getty.edu/aat/300174226,longitudinal ridge ribs
http://vocab.getty.edu/aat/300266366,condenser microphones
http://vocab.getty.edu/aat/300312237,apertures
http://vocab.getty.edu/aat/300266331,between-the-lens shutters
http://vocab.getty.edu/aat/300389919,citrons (fruits)
http://vocab.getty.edu/aat/300266417,apples (fruits)
http://vocab.getty.edu/aat/300440730,cherries (fruits)
http://vocab.getty.edu/aat/300011870,gourds (plant components)
http://vocab.getty.edu/aat/300375413,accessory fruits
http://vocab.getty.edu/aat/300251440,cones (fruits)
http://vocab.getty.edu/aat/300003395,butterfly joints
http://vocab.getty.edu/aat/300266473,mortises
http://vocab.getty.edu/aat/300266486,counters (letterform components)
http://vocab.getty.edu/aat/300266531,engine-room telegraphs
http://vocab.getty.edu/aat/300266636,šaters
http://vocab.getty.edu/aat/300266674,butsudan
http://vocab.getty.edu/aat/300266730,vinyl copolymers
http://vocab.getty.edu/aat/300179430,plastisol
http://vocab.getty.edu/aat/300446341,kharaśilā
http://vocab.getty.edu/aat/300266126,āmalakas
http://vocab.getty.edu/aat/300446413,karṇāṇḍaka
http://vocab.getty.edu/aat/300446466,candraśālikā
http://vocab.getty.edu/aat/300446671,grīvā-śikhara
http://vocab.getty.edu/aat/300266127,antarālas
http://vocab.getty.edu/aat/300446216,kapōtabandha
http://vocab.getty.edu/aat/300447042,jaṅghā-pallavī
http://vocab.getty.edu/aat/300446247,ghana-dēvakulikā
http://vocab.getty.edu/aat/300447040,vapra
http://vocab.getty.edu/aat/300446743,subhadra-jaṅghā
http://vocab.getty.edu/aat/300447035,narapīṭha
http://vocab.getty.edu/aat/300265092,corner-notched points
http://vocab.getty.edu/aat/300065017,altar screens
http://vocab.getty.edu/aat/300065033,tramezzi
http://vocab.getty.edu/aat/300310958,nashiji urushi
http://vocab.getty.edu/aat/300266284,diagonal ribs
http://vocab.getty.edu/aat/300298983,lectern covers
http://vocab.getty.edu/aat/300265415,Nazca lines
http://vocab.getty.edu/aat/300251797,animal components
http://vocab.getty.edu/aat/300310092,back stitches
http://vocab.getty.edu/aat/300446178,ākāśaliṅga (architectureal element)
http://vocab.getty.edu/aat/300395526,appliqué embroidery
http://vocab.getty.edu/aat/300264062,appliqué (textile visual works)
http://vocab.getty.edu/aat/300380475,acetylene
http://vocab.getty.edu/aat/300380535,methane
http://vocab.getty.edu/aat/300266453,pectin
http://vocab.getty.edu/aat/300264242,atoms
http://vocab.getty.edu/aat/300264241,anions
http://vocab.getty.edu/aat/300390531,carbon nanotubes
http://vocab.getty.edu/aat/300012940,gum resin
http://vocab.getty.edu/aat/300012941,rubber (material)
http://vocab.getty.edu/aat/300263623,double fore-edge paintings (objects)
http://vocab.getty.edu/aat/300263836,film clips
http://vocab.getty.edu/aat/300234159,bolts (gathered matter components)
http://vocab.getty.edu/aat/300263204,flush decks
